Energy_keV,Signal_counts,Background_counts,Total_counts,Total_norm
26.3671875,20,6,26,0.00290730180029073
26.7578125,17,5,22,0.0024600246002460025
27.1484375,13,3,16,0.001789108800178911
27.5390625,17,4,21,0.0023482053002348204
27.9296875,24,1,25,0.0027954825002795484
28.3203125,17,3,20,0.0022363860002236387
28.7109375,13,1,14,0.001565470200156547
29.1015625,13,3,16,0.001789108800178911
29.4921875,16,2,18,0.0020127474002012745
29.8828125,20,2,22,0.0024600246002460025
30.2734375,12,0,12,0.0013418316001341832
30.6640625,19,2,21,0.0023482053002348204
31.0546875,11,2,13,0.001453650900145365
31.4453125,11,1,12,0.0013418316001341832
31.8359375,18,1,19,0.0021245667002124566
32.2265625,18,4,22,0.0024600246002460025
32.6171875,24,4,28,0.003130940400313094
33.0078125,15,3,18,0.0020127474002012745
33.3984375,11,2,13,0.001453650900145365
33.7890625,14,3,17,0.0019009281001900928
34.1796875,13,3,16,0.001789108800178911
34.5703125,11,2,13,0.001453650900145365
34.9609375,13,4,17,0.0019009281001900928
35.3515625,16,3,19,0.0021245667002124566
35.7421875,13,1,14,0.001565470200156547
36.1328125,12,5,17,0.0019009281001900928
36.5234375,7,1,8,0.0008945544000894555
36.9140625,9,2,11,0.0012300123001230013
37.3046875,2,0,2,0.00022363860002236387
37.6953125,6,0,6,0.0006709158000670916
38.0859375,3,3,6,0.0006709158000670916
38.4765625,7,4,11,0.0012300123001230013
38.8671875,1,2,3,0.0003354579000335458
39.2578125,4,5,9,0.0010063737001006373
39.6484375,5,3,8,0.0008945544000894555
40.0390625,5,4,9,0.0010063737001006373
40.4296875,3,2,5,0.0005590965000559097
40.8203125,6,0,6,0.0006709158000670916
41.2109375,3,2,5,0.0005590965000559097
41.6015625,6,3,9,0.0010063737001006373
41.9921875,4,4,8,0.0008945544000894555
42.3828125,2,1,3,0.0003354579000335458
42.7734375,12,0,12,0.0013418316001341832
43.1640625,10,3,13,0.001453650900145365
43.5546875,5,1,6,0.0006709158000670916
43.9453125,9,2,11,0.0012300123001230013
44.3359375,12,1,13,0.001453650900145365
44.7265625,17,1,18,0.0020127474002012745
45.1171875,8,1,9,0.0010063737001006373
45.5078125,13,2,15,0.0016772895001677288
45.8984375,11,5,16,0.001789108800178911
46.2890625,17,2,19,0.0021245667002124566
46.6796875,21,3,24,0.0026836632002683663
47.0703125,19,3,22,0.0024600246002460025
47.4609375,15,2,17,0.0019009281001900928
47.8515625,24,8,32,0.003578217600357822
48.2421875,29,5,34,0.0038018562003801857
48.6328125,27,6,33,0.0036900369003690036
49.0234375,29,2,31,0.00346639830034664
49.4140625,39,1,40,0.0044727720004472775
49.8046875,35,5,40,0.0044727720004472775
50.1953125,50,5,55,0.006150061500615006
50.5859375,42,4,46,0.005143687800514368
50.9765625,42,7,49,0.005479145700547914
51.3671875,47,5,52,0.00581460360058146
51.7578125,53,0,53,0.005926422900592642
52.1484375,50,2,52,0.00581460360058146
52.5390625,52,3,55,0.006150061500615006
52.9296875,65,1,66,0.007380073800738007
53.3203125,62,6,68,0.007603712400760371
53.7109375,71,3,74,0.008274628200827463
54.1015625,68,0,68,0.007603712400760371
54.4921875,86,4,90,0.010063737001006373
54.8828125,96,5,101,0.011293749301129375
55.2734375,84,6,90,0.010063737001006373
55.6640625,85,4,89,0.009951917700995192
56.0546875,82,4,86,0.009616459800961647
56.4453125,126,3,129,0.01442468970144247
56.8359375,81,3,84,0.009392821200939282
57.2265625,79,2,81,0.009057363300905737
57.6171875,84,5,89,0.009951917700995192
58.0078125,108,5,113,0.012635580901263557
58.3984375,93,9,102,0.011405568601140557
58.7890625,95,3,98,0.010958291401095829
59.1796875,110,9,119,0.013306496701330649
59.5703125,102,3,105,0.011741026501174102
59.9609375,102,11,113,0.012635580901263557
60.3515625,125,6,131,0.014648328301464833
60.7421875,78,8,86,0.009616459800961647
61.1328125,103,6,109,0.01218830370121883
61.5234375,87,6,93,0.01039919490103992
61.9140625,99,8,107,0.011964665101196467
62.3046875,80,5,85,0.009504640500950463
62.6953125,95,10,105,0.011741026501174102
63.0859375,91,3,94,0.010511014201051102
63.4765625,89,6,95,0.010622833501062284
63.8671875,84,4,88,0.00984009840098401
64.2578125,71,10,81,0.009057363300905737
64.6484375,79,9,88,0.00984009840098401
65.0390625,80,5,85,0.009504640500950463
65.4296875,76,6,82,0.009169182600916918
65.8203125,66,6,72,0.008050989600805098
66.2109375,54,11,65,0.0072682545007268255
66.6015625,51,14,65,0.0072682545007268255
66.9921875,68,6,74,0.008274628200827463
67.3828125,61,9,70,0.007827351000782735
67.7734375,55,2,57,0.00637370010063737
68.1640625,44,2,46,0.005143687800514368
68.5546875,41,3,44,0.004920049200492005
68.9453125,35,10,45,0.005031868500503187
69.3359375,32,5,37,0.004137314100413732
69.7265625,24,9,33,0.0036900369003690036
70.1171875,24,10,34,0.0038018562003801857
70.5078125,21,5,26,0.00290730180029073
70.8984375,27,7,34,0.0038018562003801857
71.2890625,13,7,20,0.0022363860002236387
71.6796875,20,6,26,0.00290730180029073
72.0703125,15,7,22,0.0024600246002460025
72.4609375,18,5,23,0.002571843900257184
72.8515625,11,14,25,0.0027954825002795484
73.2421875,10,2,12,0.0013418316001341832
73.6328125,13,9,22,0.0024600246002460025
74.0234375,8,14,22,0.0024600246002460025
74.4140625,13,8,21,0.0023482053002348204
74.8046875,9,5,14,0.001565470200156547
75.1953125,8,10,18,0.0020127474002012745
75.5859375,5,13,18,0.0020127474002012745
75.9765625,3,7,10,0.0011181930001118194
76.3671875,1,12,13,0.001453650900145365
76.7578125,1,5,6,0.0006709158000670916
77.1484375,2,11,13,0.001453650900145365
77.5390625,3,12,15,0.0016772895001677288
77.9296875,1,15,16,0.001789108800178911
78.3203125,1,6,7,0.0007827351000782735
78.7109375,2,11,13,0.001453650900145365
79.1015625,2,7,9,0.0010063737001006373
79.4921875,0,15,15,0.0016772895001677288
79.8828125,2,9,11,0.0012300123001230013
80.2734375,0,4,4,0.00044727720004472774
80.6640625,0,3,3,0.0003354579000335458
81.0546875,0,14,14,0.001565470200156547
81.4453125,1,5,6,0.0006709158000670916
81.8359375,0,12,12,0.0013418316001341832
82.2265625,0,9,9,0.0010063737001006373
82.6171875,0,4,4,0.00044727720004472774
83.0078125,0,10,10,0.0011181930001118194
83.3984375,0,3,3,0.0003354579000335458
83.7890625,1,9,10,0.0011181930001118194
84.1796875,0,11,11,0.0012300123001230013
84.5703125,1,7,8,0.0008945544000894555
84.9609375,0,12,12,0.0013418316001341832
85.3515625,0,8,8,0.0008945544000894555
85.7421875,0,6,6,0.0006709158000670916
86.1328125,0,9,9,0.0010063737001006373
86.5234375,0,9,9,0.0010063737001006373
86.9140625,0,6,6,0.0006709158000670916
87.3046875,0,5,5,0.0005590965000559097
87.6953125,0,10,10,0.0011181930001118194
88.0859375,0,10,10,0.0011181930001118194
88.4765625,0,11,11,0.0012300123001230013
88.8671875,0,10,10,0.0011181930001118194
89.2578125,0,5,5,0.0005590965000559097
89.6484375,0,5,5,0.0005590965000559097
90.0390625,0,3,3,0.0003354579000335458
90.4296875,0,12,12,0.0013418316001341832
90.8203125,0,6,6,0.0006709158000670916
91.2109375,0,5,5,0.0005590965000559097
91.6015625,0,13,13,0.001453650900145365
91.9921875,3,11,14,0.001565470200156547
92.3828125,0,11,11,0.0012300123001230013
92.7734375,0,8,8,0.0008945544000894555
93.1640625,0,6,6,0.0006709158000670916
93.5546875,0,16,16,0.001789108800178911
93.9453125,0,7,7,0.0007827351000782735
94.3359375,0,5,5,0.0005590965000559097
94.7265625,0,6,6,0.0006709158000670916
95.1171875,0,10,10,0.0011181930001118194
95.5078125,0,5,5,0.0005590965000559097
95.8984375,0,8,8,0.0008945544000894555
96.2890625,0,8,8,0.0008945544000894555
96.6796875,0,6,6,0.0006709158000670916
97.0703125,1,8,9,0.0010063737001006373
97.4609375,0,10,10,0.0011181930001118194
97.8515625,1,10,11,0.0012300123001230013
98.2421875,0,6,6,0.0006709158000670916
98.6328125,0,8,8,0.0008945544000894555
99.0234375,0,6,6,0.0006709158000670916
99.4140625,0,10,10,0.0011181930001118194
99.8046875,0,10,10,0.0011181930001118194
100.1953125,0,9,9,0.0010063737001006373
100.5859375,0,10,10,0.0011181930001118194
100.9765625,0,12,12,0.0013418316001341832
101.3671875,1,8,9,0.0010063737001006373
101.7578125,0,9,9,0.0010063737001006373
102.1484375,0,7,7,0.0007827351000782735
102.5390625,0,11,11,0.0012300123001230013
102.9296875,1,13,14,0.001565470200156547
103.3203125,0,16,16,0.001789108800178911
103.7109375,0,6,6,0.0006709158000670916
104.1015625,0,7,7,0.0007827351000782735
104.4921875,0,5,5,0.0005590965000559097
104.8828125,0,8,8,0.0008945544000894555
105.2734375,0,8,8,0.0008945544000894555
105.6640625,0,7,7,0.0007827351000782735
106.0546875,0,5,5,0.0005590965000559097
106.4453125,0,10,10,0.0011181930001118194
106.8359375,0,13,13,0.001453650900145365
107.2265625,0,8,8,0.0008945544000894555
107.6171875,0,6,6,0.0006709158000670916
108.0078125,0,9,9,0.0010063737001006373
108.3984375,0,9,9,0.0010063737001006373
108.7890625,0,9,9,0.0010063737001006373
109.1796875,0,9,9,0.0010063737001006373
109.5703125,0,11,11,0.0012300123001230013
109.9609375,0,8,8,0.0008945544000894555
110.3515625,0,6,6,0.0006709158000670916
110.7421875,0,8,8,0.0008945544000894555
111.1328125,0,5,5,0.0005590965000559097
111.5234375,0,12,12,0.0013418316001341832
111.9140625,0,6,6,0.0006709158000670916
112.3046875,0,13,13,0.001453650900145365
112.6953125,0,5,5,0.0005590965000559097
113.0859375,0,8,8,0.0008945544000894555
113.4765625,0,6,6,0.0006709158000670916
113.8671875,0,7,7,0.0007827351000782735
114.2578125,0,5,5,0.0005590965000559097
114.6484375,0,5,5,0.0005590965000559097
115.0390625,0,4,4,0.00044727720004472774
115.4296875,0,10,10,0.0011181930001118194
115.8203125,0,5,5,0.0005590965000559097
116.2109375,0,8,8,0.0008945544000894555
116.6015625,0,8,8,0.0008945544000894555
116.9921875,0,7,7,0.0007827351000782735
117.3828125,0,7,7,0.0007827351000782735
117.7734375,0,8,8,0.0008945544000894555
118.1640625,0,6,6,0.0006709158000670916
118.5546875,0,4,4,0.00044727720004472774
118.9453125,0,9,9,0.0010063737001006373
119.3359375,0,6,6,0.0006709158000670916
119.7265625,1,7,8,0.0008945544000894555
120.1171875,0,3,3,0.0003354579000335458
120.5078125,0,7,7,0.0007827351000782735
120.8984375,0,8,8,0.0008945544000894555
121.2890625,0,7,7,0.0007827351000782735
121.6796875,0,6,6,0.0006709158000670916
122.0703125,0,9,9,0.0010063737001006373
122.4609375,0,8,8,0.0008945544000894555
122.8515625,0,13,13,0.001453650900145365
123.2421875,0,6,6,0.0006709158000670916
123.6328125,0,11,11,0.0012300123001230013
124.0234375,1,9,10,0.0011181930001118194
124.4140625,0,10,10,0.0011181930001118194
124.8046875,0,6,6,0.0006709158000670916
125.1953125,0,6,6,0.0006709158000670916
125.5859375,0,7,7,0.0007827351000782735
125.9765625,0,10,10,0.0011181930001118194
126.3671875,0,7,7,0.0007827351000782735
126.7578125,0,8,8,0.0008945544000894555
127.1484375,0,8,8,0.0008945544000894555
127.5390625,0,8,8,0.0008945544000894555
127.9296875,0,5,5,0.0005590965000559097
128.3203125,0,3,3,0.0003354579000335458
128.7109375,0,10,10,0.0011181930001118194
129.1015625,0,10,10,0.0011181930001118194
129.4921875,0,2,2,0.00022363860002236387
129.8828125,0,9,9,0.0010063737001006373
130.2734375,0,6,6,0.0006709158000670916
130.6640625,0,10,10,0.0011181930001118194
131.0546875,0,11,11,0.0012300123001230013
131.4453125,0,11,11,0.0012300123001230013
131.8359375,0,13,13,0.001453650900145365
132.2265625,0,12,12,0.0013418316001341832
132.6171875,0,8,8,0.0008945544000894555
133.0078125,0,5,5,0.0005590965000559097
133.3984375,0,13,13,0.001453650900145365
133.7890625,0,6,6,0.0006709158000670916
134.1796875,0,8,8,0.0008945544000894555
134.5703125,0,4,4,0.00044727720004472774
134.9609375,0,10,10,0.0011181930001118194
135.3515625,0,5,5,0.0005590965000559097
135.7421875,0,8,8,0.0008945544000894555
136.1328125,0,4,4,0.00044727720004472774
136.5234375,0,7,7,0.0007827351000782735
136.9140625,0,7,7,0.0007827351000782735
137.3046875,0,10,10,0.0011181930001118194
137.6953125,0,9,9,0.0010063737001006373
138.0859375,0,5,5,0.0005590965000559097
138.4765625,0,12,12,0.0013418316001341832
138.8671875,0,9,9,0.0010063737001006373
139.2578125,0,5,5,0.0005590965000559097
139.6484375,0,11,11,0.0012300123001230013
140.0390625,0,11,11,0.0012300123001230013
140.4296875,0,9,9,0.0010063737001006373
140.8203125,0,8,8,0.0008945544000894555
141.2109375,0,8,8,0.0008945544000894555
141.6015625,0,4,4,0.00044727720004472774
141.9921875,0,8,8,0.0008945544000894555
142.3828125,0,11,11,0.0012300123001230013
142.7734375,0,13,13,0.001453650900145365
143.1640625,0,8,8,0.0008945544000894555
143.5546875,0,7,7,0.0007827351000782735
143.9453125,0,7,7,0.0007827351000782735
144.3359375,0,6,6,0.0006709158000670916
144.7265625,0,6,6,0.0006709158000670916
145.1171875,0,5,5,0.0005590965000559097
145.5078125,0,6,6,0.0006709158000670916
145.8984375,0,10,10,0.0011181930001118194
146.2890625,0,8,8,0.0008945544000894555
146.6796875,0,5,5,0.0005590965000559097
147.0703125,0,8,8,0.0008945544000894555
147.4609375,0,12,12,0.0013418316001341832
147.8515625,0,6,6,0.0006709158000670916
148.2421875,0,9,9,0.0010063737001006373
148.6328125,0,8,8,0.0008945544000894555
149.0234375,0,8,8,0.0008945544000894555
149.4140625,0,9,9,0.0010063737001006373
149.8046875,0,9,9,0.0010063737001006373
150.1953125,0,9,9,0.0010063737001006373
150.5859375,0,5,5,0.0005590965000559097
150.9765625,0,6,6,0.0006709158000670916
151.3671875,0,7,7,0.0007827351000782735
151.7578125,0,10,10,0.0011181930001118194
152.1484375,0,6,6,0.0006709158000670916
152.5390625,0,9,9,0.0010063737001006373
152.9296875,0,5,5,0.0005590965000559097
153.3203125,0,7,7,0.0007827351000782735
153.7109375,0,4,4,0.00044727720004472774
154.1015625,0,5,5,0.0005590965000559097
154.4921875,0,4,4,0.00044727720004472774
154.8828125,0,6,6,0.0006709158000670916
155.2734375,0,6,6,0.0006709158000670916
155.6640625,0,5,5,0.0005590965000559097
156.0546875,0,3,3,0.0003354579000335458
156.4453125,0,5,5,0.0005590965000559097
156.8359375,0,5,5,0.0005590965000559097
157.2265625,0,5,5,0.0005590965000559097
157.6171875,0,8,8,0.0008945544000894555
158.0078125,0,10,10,0.0011181930001118194
158.3984375,0,12,12,0.0013418316001341832
158.7890625,0,7,7,0.0007827351000782735
159.1796875,0,11,11,0.0012300123001230013
159.5703125,0,4,4,0.00044727720004472774
159.9609375,0,7,7,0.0007827351000782735
160.3515625,0,5,5,0.0005590965000559097
160.7421875,0,2,2,0.00022363860002236387
161.1328125,0,4,4,0.00044727720004472774
161.5234375,0,3,3,0.0003354579000335458
161.9140625,0,6,6,0.0006709158000670916
162.3046875,0,6,6,0.0006709158000670916
162.6953125,0,8,8,0.0008945544000894555
163.0859375,0,3,3,0.0003354579000335458
163.4765625,0,4,4,0.00044727720004472774
163.8671875,0,5,5,0.0005590965000559097
164.2578125,0,5,5,0.0005590965000559097
164.6484375,0,4,4,0.00044727720004472774
165.0390625,0,2,2,0.00022363860002236387
165.4296875,0,2,2,0.00022363860002236387
165.8203125,0,5,5,0.0005590965000559097
166.2109375,0,4,4,0.00044727720004472774
166.6015625,0,2,2,0.00022363860002236387
166.9921875,0,6,6,0.0006709158000670916
167.3828125,0,8,8,0.0008945544000894555
167.7734375,0,5,5,0.0005590965000559097
168.1640625,0,4,4,0.00044727720004472774
168.5546875,0,4,4,0.00044727720004472774
168.9453125,0,5,5,0.0005590965000559097
169.3359375,0,10,10,0.0011181930001118194
169.7265625,0,1,1,0.00011181930001118193
170.1171875,0,7,7,0.0007827351000782735
170.5078125,0,4,4,0.00044727720004472774
170.8984375,0,7,7,0.0007827351000782735
171.2890625,0,7,7,0.0007827351000782735
171.6796875,0,8,8,0.0008945544000894555
172.0703125,0,1,1,0.00011181930001118193
172.4609375,0,4,4,0.00044727720004472774
172.8515625,0,3,3,0.0003354579000335458
173.2421875,0,8,8,0.0008945544000894555
173.6328125,0,3,3,0.0003354579000335458
174.0234375,0,5,5,0.0005590965000559097
174.4140625,0,6,6,0.0006709158000670916
174.8046875,0,5,5,0.0005590965000559097
175.1953125,0,4,4,0.00044727720004472774
175.5859375,0,2,2,0.00022363860002236387
175.9765625,0,13,13,0.001453650900145365
176.3671875,0,1,1,0.00011181930001118193
176.7578125,0,4,4,0.00044727720004472774
177.1484375,0,6,6,0.0006709158000670916
177.5390625,0,5,5,0.0005590965000559097
177.9296875,0,7,7,0.0007827351000782735
178.3203125,0,3,3,0.0003354579000335458
178.7109375,0,5,5,0.0005590965000559097
179.1015625,0,8,8,0.0008945544000894555
179.4921875,0,5,5,0.0005590965000559097
179.8828125,0,2,2,0.00022363860002236387
180.2734375,0,2,2,0.00022363860002236387
180.6640625,0,5,5,0.0005590965000559097
181.0546875,0,3,3,0.0003354579000335458
181.4453125,0,2,2,0.00022363860002236387
181.8359375,0,3,3,0.0003354579000335458
182.2265625,0,11,11,0.0012300123001230013
182.6171875,0,2,2,0.00022363860002236387
183.0078125,0,2,2,0.00022363860002236387
183.3984375,0,1,1,0.00011181930001118193
183.7890625,0,5,5,0.0005590965000559097
184.1796875,0,5,5,0.0005590965000559097
184.5703125,0,4,4,0.00044727720004472774
184.9609375,0,5,5,0.0005590965000559097
185.3515625,0,6,6,0.0006709158000670916
185.7421875,0,2,2,0.00022363860002236387
186.1328125,0,1,1,0.00011181930001118193
186.5234375,0,6,6,0.0006709158000670916
186.9140625,0,9,9,0.0010063737001006373
187.3046875,0,8,8,0.0008945544000894555
187.6953125,0,10,10,0.0011181930001118194
188.0859375,0,4,4,0.00044727720004472774
188.4765625,0,4,4,0.00044727720004472774
188.8671875,0,8,8,0.0008945544000894555
189.2578125,0,6,6,0.0006709158000670916
189.6484375,0,4,4,0.00044727720004472774
190.0390625,0,2,2,0.00022363860002236387
190.4296875,0,2,2,0.00022363860002236387
190.8203125,0,2,2,0.00022363860002236387
191.2109375,0,2,2,0.00022363860002236387
191.6015625,0,2,2,0.00022363860002236387
191.9921875,0,4,4,0.00044727720004472774
192.3828125,0,4,4,0.00044727720004472774
192.7734375,0,4,4,0.00044727720004472774
193.1640625,0,2,2,0.00022363860002236387
193.5546875,0,4,4,0.00044727720004472774
193.9453125,0,5,5,0.0005590965000559097
194.3359375,0,1,1,0.00011181930001118193
194.7265625,0,7,7,0.0007827351000782735
195.1171875,0,5,5,0.0005590965000559097
195.5078125,0,7,7,0.0007827351000782735
195.8984375,0,7,7,0.0007827351000782735
196.2890625,0,10,10,0.0011181930001118194
196.6796875,0,2,2,0.00022363860002236387
197.0703125,0,4,4,0.00044727720004472774
197.4609375,0,5,5,0.0005590965000559097
197.8515625,0,2,2,0.00022363860002236387
198.2421875,0,2,2,0.00022363860002236387
198.6328125,0,8,8,0.0008945544000894555
199.0234375,0,4,4,0.00044727720004472774
199.4140625,0,7,7,0.0007827351000782735
199.8046875,0,4,4,0.00044727720004472774
200.1953125,0,6,6,0.0006709158000670916
200.5859375,0,7,7,0.0007827351000782735
200.9765625,0,7,7,0.0007827351000782735
201.3671875,0,3,3,0.0003354579000335458
201.7578125,0,6,6,0.0006709158000670916
202.1484375,0,7,7,0.0007827351000782735
202.5390625,0,3,3,0.0003354579000335458
202.9296875,0,2,2,0.00022363860002236387
203.3203125,0,1,1,0.00011181930001118193
203.7109375,0,1,1,0.00011181930001118193
204.1015625,0,3,3,0.0003354579000335458
204.4921875,0,8,8,0.0008945544000894555
204.8828125,0,3,3,0.0003354579000335458
205.2734375,0,4,4,0.00044727720004472774
205.6640625,0,3,3,0.0003354579000335458
206.0546875,0,9,9,0.0010063737001006373
206.4453125,0,3,3,0.0003354579000335458
206.8359375,0,6,6,0.0006709158000670916
207.2265625,0,3,3,0.0003354579000335458
207.6171875,0,7,7,0.0007827351000782735
208.0078125,0,4,4,0.00044727720004472774
208.3984375,0,4,4,0.00044727720004472774
208.7890625,0,3,3,0.0003354579000335458
209.1796875,0,1,1,0.00011181930001118193
209.5703125,0,3,3,0.0003354579000335458
209.9609375,0,5,5,0.0005590965000559097
210.3515625,0,5,5,0.0005590965000559097
210.7421875,0,5,5,0.0005590965000559097
211.1328125,0,2,2,0.00022363860002236387
211.5234375,0,5,5,0.0005590965000559097
211.9140625,0,5,5,0.0005590965000559097
212.3046875,0,5,5,0.0005590965000559097
212.6953125,0,7,7,0.0007827351000782735
213.0859375,0,3,3,0.0003354579000335458
213.4765625,0,3,3,0.0003354579000335458
213.8671875,0,6,6,0.0006709158000670916
214.2578125,0,4,4,0.00044727720004472774
214.6484375,0,4,4,0.00044727720004472774
215.0390625,0,3,3,0.0003354579000335458
215.4296875,0,7,7,0.0007827351000782735
215.8203125,0,2,2,0.00022363860002236387
216.2109375,0,4,4,0.00044727720004472774
216.6015625,0,3,3,0.0003354579000335458
216.9921875,0,3,3,0.0003354579000335458
217.3828125,0,5,5,0.0005590965000559097
217.7734375,0,3,3,0.0003354579000335458
218.1640625,0,3,3,0.0003354579000335458
218.5546875,0,2,2,0.00022363860002236387
218.9453125,0,6,6,0.0006709158000670916
219.3359375,0,3,3,0.0003354579000335458
219.7265625,0,5,5,0.0005590965000559097
220.1171875,0,5,5,0.0005590965000559097
220.5078125,0,3,3,0.0003354579000335458
220.8984375,0,2,2,0.00022363860002236387
221.2890625,0,4,4,0.00044727720004472774
221.6796875,0,3,3,0.0003354579000335458
222.0703125,0,5,5,0.0005590965000559097
222.4609375,0,5,5,0.0005590965000559097
222.8515625,0,3,3,0.0003354579000335458
223.2421875,0,2,2,0.00022363860002236387
223.6328125,0,3,3,0.0003354579000335458
224.0234375,0,7,7,0.0007827351000782735
224.4140625,0,2,2,0.00022363860002236387
224.8046875,0,3,3,0.0003354579000335458
225.1953125,0,6,6,0.0006709158000670916
225.5859375,0,3,3,0.0003354579000335458
225.9765625,0,1,1,0.00011181930001118193
226.3671875,0,6,6,0.0006709158000670916
226.7578125,0,5,5,0.0005590965000559097
227.1484375,0,2,2,0.00022363860002236387
227.5390625,0,0,0,0.0
227.9296875,0,2,2,0.00022363860002236387
228.3203125,0,3,3,0.0003354579000335458
228.7109375,0,5,5,0.0005590965000559097
229.1015625,0,5,5,0.0005590965000559097
229.4921875,0,9,9,0.0010063737001006373
229.8828125,0,3,3,0.0003354579000335458
230.2734375,0,2,2,0.00022363860002236387
230.6640625,0,7,7,0.0007827351000782735
231.0546875,0,4,4,0.00044727720004472774
231.4453125,0,5,5,0.0005590965000559097
231.8359375,0,5,5,0.0005590965000559097
232.2265625,0,2,2,0.00022363860002236387
232.6171875,0,3,3,0.0003354579000335458
233.0078125,0,1,1,0.00011181930001118193
233.3984375,0,1,1,0.00011181930001118193
233.7890625,0,3,3,0.0003354579000335458
234.1796875,0,11,11,0.0012300123001230013
234.5703125,0,2,2,0.00022363860002236387
234.9609375,0,4,4,0.00044727720004472774
235.3515625,0,6,6,0.0006709158000670916
235.7421875,0,0,0,0.0
236.1328125,0,0,0,0.0
236.5234375,0,0,0,0.0
236.9140625,0,1,1,0.00011181930001118193
237.3046875,0,6,6,0.0006709158000670916
237.6953125,0,2,2,0.00022363860002236387
238.0859375,0,1,1,0.00011181930001118193
238.4765625,0,0,0,0.0
238.8671875,0,2,2,0.00022363860002236387
239.2578125,0,2,2,0.00022363860002236387
239.6484375,0,3,3,0.0003354579000335458
240.0390625,0,2,2,0.00022363860002236387
240.4296875,0,4,4,0.00044727720004472774
240.8203125,0,7,7,0.0007827351000782735
241.2109375,0,5,5,0.0005590965000559097
241.6015625,0,3,3,0.0003354579000335458
241.9921875,0,4,4,0.00044727720004472774
242.3828125,0,3,3,0.0003354579000335458
242.7734375,0,3,3,0.0003354579000335458
243.1640625,0,2,2,0.00022363860002236387
243.5546875,0,2,2,0.00022363860002236387
243.9453125,0,6,6,0.0006709158000670916
244.3359375,0,4,4,0.00044727720004472774
244.7265625,0,3,3,0.0003354579000335458
245.1171875,0,3,3,0.0003354579000335458
245.5078125,0,4,4,0.00044727720004472774
245.8984375,0,3,3,0.0003354579000335458
246.2890625,0,0,0,0.0
246.6796875,0,3,3,0.0003354579000335458
247.0703125,0,3,3,0.0003354579000335458
247.4609375,0,2,2,0.00022363860002236387
247.8515625,0,1,1,0.00011181930001118193
248.2421875,0,2,2,0.00022363860002236387
248.6328125,0,2,2,0.00022363860002236387
249.0234375,0,3,3,0.0003354579000335458
249.4140625,0,5,5,0.0005590965000559097
249.8046875,0,1,1,0.00011181930001118193
250.1953125,0,0,0,0.0
250.5859375,0,4,4,0.00044727720004472774
250.9765625,0,3,3,0.0003354579000335458
251.3671875,0,7,7,0.0007827351000782735
251.7578125,0,2,2,0.00022363860002236387
252.1484375,0,5,5,0.0005590965000559097
252.5390625,0,3,3,0.0003354579000335458
252.9296875,0,2,2,0.00022363860002236387
